,구,만족도,,,,,
1,종로구,5.71,,,,,
2,양천구,5.77,,,,,
3,동작구,5.79,,,,,
4,영등포구,5.83,,,,구,만족도
5,관악구,5.83,,,1,종로구,5.71
6,서초구,5.85,,,2,양천구,5.77
7,중랑구,5.88,,,3,동작구,5.79
8,구로구,5.88,,,4,영등포구,5.83
9,노원구,5.91,,,5,관악구,5.83
10,은평구,5.91,,,6,서초구,5.85
11,동대문구,5.93,,,7,중랑구,5.88
12,광진구,6.01,,,8,구로구,5.88
,강북구,6.01,,,9,노원구,5.91
,강서구,6.03,,,10,은평구,5.91
,성북구,6.05,,,11,동대문구,5.93
,강동구,6.08,,,12,광진구,6.01
,마포구,6.1,,,,,
,성동구,6.13,,,,,
,도봉구,6.13,,,,,
,용산구,6.15,,,,,
,강남구,6.15,,,,,
,송파구,6.19,,,,,
,중구,6.21,,,,,
,금천구,6.21,,,,,
,서대문구,6.26,,,,,
